Award,URL
Heisman Memorial Trophy,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/1ab1a1da18b52b0f-1b4729be3bf4959e-00005dd3.png?raw=true
Maxwell Award,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/435139be2d3caeba-4f3281928856da7d-00005dd3.png?raw=true
Chuck Bednarik Award,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/d6d727e091b30b7a-cdd5fc50d0e92108-00005dd3.png?raw=true
Davey O'Brien Award,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/10065eee085e9821-391c74ff378eb2e8-00005dd3.png?raw=true
Doak Walker Award,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/c6a35cb41cb9cf3e-2d2bca311b31e663-00005dd3.png?raw=true
Fred Biletnikoff Award,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/ae178f3c4af148bc-15aabbbf247e3bd9-00005dd3.png?raw=true
John Mackey Award,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/446b66001152b4b7-2b05feb9ea2c18a3-00005dd3.png?raw=true
Outland Trophy,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/4c380b413b0b656b-6258c0b58fa92ca3-00005dd3.png?raw=true
Rimington Trophy,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/e90cf8ef48771c8b-cc0e96897cb7cb89-00005dd3.png?raw=true
Lombardi Award,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/e974dcfbcd24c029-6aab0422eb9de1f9-00005dd3.png?raw=true
Dick Butkus Award,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/144ea96c88097520-1e66bfcf035931e2-00005dd3.png?raw=true
Jim Thorpe Award,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/f82b27f379641d24-270081de403b895a-00005dd3.png?raw=true
Lou Groza Award,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/2ec568a3b7d3913-e56f92d13ebcd288-00005dd3.png?raw=true
Ray Guy Award,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/2be92d14d65522bf-99af46381841f3ed-00005dd3.png?raw=true
Paul Hornung Award,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/general/trophies/7396c043bcaf257c-a4ded8ef2651209c-00005dd3.png?raw=true
